date,minute,label,high,low,open,close,average,volume,symbol
2025-04-02,12:00,12:00 PM,194.25,193.94,194.24,194.08,194.095,4834,AMZN
2025-04-02,11:59,11:59 AM,194.45,193.99,194.21,194.25,194.22,13908,AMZN
2025-04-02,11:58,11:58 AM,194.84,194.21,194.61,194.26,194.525,16546,AMZN
2025-04-02,11:57,11:57 AM,194.69,193.77,193.93,194.69,194.23000000000002,16442,AMZN
2025-04-02,11:56,11:56 AM,194.76,193.89,194.71,193.89,194.325,21841,AMZN
2025-04-02,11:55,11:55 AM,194.94,193.72,194.01,194.73,194.32999999999998,26675,AMZN
2025-04-02,11:54,11:54 AM,194.37,193.62,193.82,193.85,193.995,27010,AMZN
2025-04-02,11:53,11:53 AM,193.79,193.08,193.55,193.75,193.435,18102,AMZN
2025-04-02,11:52,11:52 AM,193.33,192.0,192.0,193.31,192.66500000000002,21091,AMZN
2025-04-02,11:51,11:51 AM,192.12,191.92,192.03,191.99,192.01999999999998,2341,AMZN
2025-04-02,11:50,11:50 AM,192.26,192.04,192.06,192.11,192.14999999999998,1888,AMZN
2025-04-02,11:49,11:49 AM,192.15,192.0,192.13,192.0,192.075,1894,AMZN
2025-04-02,11:48,11:48 AM,192.16,191.96,192.02,192.16,192.06,1644,AMZN
2025-04-02,11:47,11:47 AM,192.26,192.01,192.14,192.1,192.135,3100,AMZN
2025-04-02,11:46,11:46 AM,192.27,192.12,192.24,192.21,192.195,1273,AMZN
2025-04-02,11:45,11:45 AM,192.38,192.08,192.38,192.22,192.23000000000002,3372,AMZN
2025-04-02,11:44,11:44 AM,192.56,192.32,192.56,192.35,192.44,2456,AMZN
2025-04-02,11:43,11:43 AM,192.66,192.53,192.54,192.54,192.595,2684,AMZN
2025-04-02,11:42,11:42 AM,192.58,192.31,192.31,192.53,192.445,826,AMZN
2025-04-02,11:41,11:41 AM,192.63,192.26,192.62,192.32,192.445,5060,AMZN
2025-04-02,11:40,11:40 AM,192.66,192.52,192.54,192.63,192.59,2910,AMZN
2025-04-02,11:39,11:39 AM,192.6,192.47,192.58,192.54,192.535,5195,AMZN
2025-04-02,11:38,11:38 AM,192.58,192.44,192.46,192.57,192.51,3615,AMZN
2025-04-02,11:37,11:37 AM,192.56,192.42,192.52,192.42,192.49,805,AMZN
2025-04-02,11:36,11:36 AM,192.59,192.36,192.39,192.55,192.47500000000002,1565,AMZN
2025-04-02,11:35,11:35 AM,192.56,192.33,192.49,192.41,192.445,2635,AMZN
2025-04-02,11:34,11:34 AM,192.61,192.47,192.61,192.5,192.54000000000002,1625,AMZN
2025-04-02,11:33,11:33 AM,192.59,192.44,192.44,192.59,192.515,1932,AMZN
2025-04-02,11:32,11:32 AM,192.47,192.18,192.27,192.41,192.325,1019,AMZN
2025-04-02,11:31,11:31 AM,192.38,192.27,192.38,192.27,192.325,1084,AMZN
2025-04-02,11:30,11:30 AM,192.39,192.27,192.31,192.28,192.32999999999998,1153,AMZN
2025-04-02,11:29,11:29 AM,192.43,192.24,192.26,192.38,192.335,2875,AMZN
2025-04-02,11:28,11:28 AM,192.56,192.28,192.52,192.31,192.42000000000002,3058,AMZN
2025-04-02,11:27,11:27 AM,192.53,192.47,192.51,192.49,192.5,1379,AMZN
2025-04-02,11:26,11:26 AM,192.51,192.37,192.47,192.48,192.44,896,AMZN
2025-04-02,11:25,11:25 AM,192.57,192.44,192.44,192.51,192.505,3267,AMZN
2025-04-02,11:24,11:24 AM,192.61,192.42,192.56,192.47,192.515,1356,AMZN
2025-04-02,11:23,11:23 AM,192.55,192.5,192.55,192.55,192.525,1182,AMZN
2025-04-02,11:22,11:22 AM,192.6,192.5,192.52,192.59,192.55,1008,AMZN
2025-04-02,11:21,11:21 AM,192.66,192.54,192.54,192.6,192.6,1643,AMZN
2025-04-02,11:20,11:20 AM,192.46,192.13,192.18,192.46,192.29500000000002,3172,AMZN
2025-04-02,11:19,11:19 AM,192.16,192.03,192.09,192.16,192.095,1973,AMZN
2025-04-02,11:18,11:18 AM,192.11,192.03,192.05,192.05,192.07,906,AMZN
2025-04-02,11:17,11:17 AM,191.93,191.84,191.89,191.86,191.885,1053,AMZN
2025-04-02,11:16,11:16 AM,192.0,191.77,191.96,191.87,191.885,1160,AMZN
2025-04-02,11:15,11:15 AM,191.98,191.79,191.79,191.98,191.885,2304,AMZN
2025-04-02,11:14,11:14 AM,191.95,191.72,191.77,191.81,191.83499999999998,2039,AMZN
2025-04-02,11:13,11:13 AM,191.98,191.82,191.96,191.82,191.89999999999998,1632,AMZN
2025-04-02,11:12,11:12 AM,192.15,191.97,192.13,191.97,192.06,2587,AMZN
2025-04-02,11:11,11:11 AM,192.3,192.14,192.24,192.16,192.22,1175,AMZN
2025-04-02,11:10,11:10 AM,192.45,192.3,192.45,192.31,192.375,1560,AMZN
2025-04-02,11:09,11:09 AM,192.44,192.28,192.28,192.44,192.36,749,AMZN
2025-04-02,11:08,11:08 AM,192.31,192.21,192.23,192.31,192.26,959,AMZN
2025-04-02,11:07,11:07 AM,192.28,192.17,192.17,192.25,192.225,1366,AMZN
2025-04-02,11:06,11:06 AM,192.26,192.03,192.26,192.16,192.14499999999998,870,AMZN
2025-04-02,11:05,11:05 AM,192.21,192.13,192.14,192.21,192.17000000000002,250,AMZN
2025-04-02,11:04,11:04 AM,192.13,191.98,192.01,192.08,192.055,1995,AMZN
2025-04-02,11:03,11:03 AM,192.07,191.89,191.91,191.98,191.98,1663,AMZN
2025-04-02,11:02,11:02 AM,192.08,191.86,191.93,191.86,191.97000000000003,2019,AMZN
2025-04-02,11:01,11:01 AM,192.11,191.88,192.07,191.95,191.995,1774,AMZN
2025-04-02,11:00,11:00 AM,192.37,191.88,192.37,192.09,192.125,4562,AMZN
2025-04-02,10:59,10:59 AM,192.47,192.35,192.44,192.37,192.41,2165,AMZN
2025-04-02,10:58,10:58 AM,192.57,192.44,192.44,192.46,192.505,2093,AMZN
2025-04-02,10:57,10:57 AM,192.43,192.25,192.26,192.43,192.34,2206,AMZN
2025-04-02,10:56,10:56 AM,192.28,192.04,192.11,192.24,192.16,2443,AMZN
2025-04-02,10:55,10:55 AM,192.25,192.09,192.21,192.11,192.17000000000002,2136,AMZN
2025-04-02,10:54,10:54 AM,192.27,192.14,192.24,192.17,192.20499999999998,3915,AMZN
2025-04-02,10:53,10:53 AM,192.36,192.18,192.36,192.2,192.27,1696,AMZN
2025-04-02,10:52,10:52 AM,192.47,192.23,192.27,192.39,192.35,1247,AMZN
2025-04-02,10:51,10:51 AM,192.54,192.3,192.45,192.3,192.42000000000002,2401,AMZN
2025-04-02,10:50,10:50 AM,192.49,192.4,192.43,192.44,192.445,3130,AMZN
2025-04-02,10:49,10:49 AM,192.48,192.27,192.28,192.47,192.375,3928,AMZN
2025-04-02,10:48,10:48 AM,192.57,192.28,192.47,192.29,192.425,4346,AMZN
2025-04-02,10:47,10:47 AM,192.73,192.45,192.72,192.46,192.58999999999997,3771,AMZN
2025-04-02,10:46,10:46 AM,192.72,192.56,192.63,192.72,192.64,3188,AMZN
2025-04-02,10:45,10:45 AM,192.69,192.44,192.45,192.63,192.565,4612,AMZN
2025-04-02,10:44,10:44 AM,192.49,192.27,192.28,192.43,192.38,4820,AMZN
2025-04-02,10:43,10:43 AM,192.53,192.32,192.41,192.36,192.425,2011,AMZN
2025-04-02,10:42,10:42 AM,192.69,192.39,192.65,192.41,192.54,4051,AMZN
2025-04-02,10:41,10:41 AM,192.7,192.43,192.43,192.63,192.565,3311,AMZN
2025-04-02,10:40,10:40 AM,192.41,192.16,192.34,192.41,192.285,1903,AMZN
2025-04-02,10:39,10:39 AM,192.38,192.05,192.05,192.38,192.215,1531,AMZN
2025-04-02,10:38,10:38 AM,192.23,191.99,192.16,192.04,192.11,2132,AMZN
2025-04-02,10:37,10:37 AM,192.17,192.08,192.11,192.14,192.125,2976,AMZN
2025-04-02,10:36,10:36 AM,192.13,191.97,192.13,192.09,192.05,2344,AMZN
2025-04-02,10:35,10:35 AM,192.3,192.01,192.3,192.12,192.155,3657,AMZN
